,msg1,msg2,msgid,nsavetime
698,NSR,info,71193,1515417040
699,NSR,info,71193,1515417040
700,NSR,info,71193,1515417040
701,NSR,info,71193,1515417040
702,NSR,info,71193,1515417040
703,NSR,info,71193,1515417040
704,NSR,info,71193,1515417040
705,NSR,info,71193,1515417040
706,NSR,info,71193,1515417040
707,NSR,info,71193,1515417040
708,NSR,info,71193,1515417040
709,NSR,info,71193,1515417040
710,NSR,info,71193,1515417040
711,NSR,info,71193,1515417040
712,NSR,info,71193,1515417040
713,NSR,info,71193,1515417040
714,NSR,info,71193,1515417040
715,NSR,info,71193,1515417040
716,NSR,info,71193,1515417040
717,NSR,info,71193,1515417040
718,NSR,info,71193,1515417040
719,NSR,info,71193,1515417040
720,NSR,info,71193,1515417040
721,NSR,info,71193,1515417040
722,NSR,info,71193,1515417040
723,NSR,info,71193,1515417040
724,NSR,info,71193,1515417040
725,NSR,info,71193,1515417040
726,NSR,info,71193,1515417040
727,NSR,info,71193,1515417040
728,NSR,info,71193,1515417040
729,NSR,info,71193,1515417040
730,NSR,info,71193,1515417040
731,NSR,info,71193,1515417040
732,NSR,info,71193,1515417040
733,NSR,info,71193,1515417040
734,NSR,info,71193,1515417040
735,NSR,info,71193,1515417040
736,NSR,info,71193,1515417040
737,NSR,info,71193,1515417040
738,NSR,info,71193,1515417040
739,NSR,info,71193,1515417040
740,NSR,info,71193,1515417040
741,NSR,info,71193,1515417040
742,NSR,info,71193,1515417040
743,NSR,info,71193,1515417040
744,NSR,info,71193,1515417040
745,NSR,info,71193,1515417040
746,NSR,info,71193,1515417040
747,NSR,info,71193,1515417040
748,NSR,info,71193,1515417040
749,NSR,info,71193,1515417040
750,NSR,info,71193,1515417040
751,NSR,info,71193,1515417040
752,NSR,info,71193,1515417040
753,NSR,info,71193,1515417040
754,NSR,info,71193,1515417040
755,NSR,info,71193,1515417040
756,NSR,info,71193,1515417040
757,NSR,info,71193,1515417040
758,NSR,info,71193,1515417040
759,NSR,info,71193,1515417040
760,NSR,info,71193,1515417040
761,NSR,info,71193,1515417040
762,NSR,info,71193,1515417040
763,NSR,info,71193,1515417040
764,NSR,info,71193,1515417040
765,NSR,info,71193,1515417040
766,NSR,info,71193,1515417040
767,NSR,info,71193,1515417040
768,NSR,info,71193,1515417040
769,NSR,info,71193,1515417040
770,NSR,info,71193,1515417040
771,NSR,info,71193,1515417040
772,NSR,info,71193,1515417040
773,NSR,info,71193,1515417040
774,NSR,info,71193,1515417040
775,NSR,info,71193,1515417040
776,NSR,info,71193,1515417040
777,NSR,info,71193,1515417040
778,NSR,info,71193,1515417040
779,NSR,info,71193,1515417040
780,NSR,info,71193,1515417040
781,NSR,info,71193,1515417040
782,NSR,info,71193,1515417040
783,NSR,info,71193,1515417040
784,NSR,info,71193,1515417040
785,NSR,info,71193,1515417040
786,NSR,info,71193,1515417040
787,NSR,info,71193,1515417040
788,NSR,info,71193,1515417040
789,NSR,info,71193,1515417040
790,NSR,info,71193,1515417040
791,NSR,info,71193,1515417040
792,NSR,info,71193,1515417040
793,NSR,info,71193,1515417040
794,NSR,info,71193,1515417040
795,NSR,info,71193,1515417040
796,NSR,info,71193,1515417040
797,NSR,info,71193,1515417040
798,NSR,info,71193,1515417040
799,NSR,info,71193,1515417040
800,NSR,info,71193,1515417040
801,NSR,info,71193,1515417040
802,NSR,info,71193,1515417040
803,NSR,info,71193,1515417040
804,NSR,info,71193,1515417040
805,NSR,info,71193,1515417040
806,NSR,info,71193,1515417040
807,NSR,info,71193,1515417040
